journal,SJR
ca-a cancer journal for clinicians,"145,004"
mmwr recommendations and reports,"41,754"
nature reviews molecular cell biology,"37,353"
quarterly journal of economics,"35,995"
nature reviews drug discovery,"30,506"
nature reviews clinical oncology,"28,675"
american economic review,"25,102"
nature reviews cancer,"24,378"
journal of finance,"22,836"
foundations and trends in machine learning,"22,797"
cell,"22,612"
econometrica,"21,091"
nature reviews materials,"19,430"
review of economic studies,"19,166"
new england journal of medicine,"19,076"
annals of oncology,"19,072"
cancer cell,"19,027"
nature biotechnology,"19,006"
world psychiatry,"18,419"
nature medicine,"18,333"
nature,"18,288"
reviews of modern physics,"18,080"
nature reviews disease primers,"17,995"
journal of financial economics,"17,669"
nature energy,"17,599"
nature reviews immunology,"17,458"
nature methods,"17,251"
journal of political economy,"17,087"
nature genetics,"16,586"
review of financial studies,"16,546"
chemical reviews,"16,455"
annual review of immunology,"16,428"
nature reviews genetics,"16,364"
national vital statistics reports,"15,519"
mmwr surveillance summaries,"15,326"
nature reviews methods primers,"15,026"
nature nanotechnology,"14,612"
living reviews in relativity,"14,562"
academy of management review,"14,402"
nature materials,"14,204"
ieee communications surveys and tutorials,"14,184"
nature catalysis,"14,132"
academy of management annals,"13,877"
nature reviews microbiology,"13,861"
annual review of psychology,"13,786"
american economic journal,"13,528"
nature reviews earth and environment,"13,465"
nature reviews chemistry,"13,441"
journal of marketing,"13,394"
journal of economic literature,"12,749"
annual review of astronomy and astrophysics,"12,736"
annual review of organizational psychology and organizational behavior,"12,191"
the lancet diabetes and endocrinology,"12,190"
annual review of pathology,"12,185"
journal of econometrics,"12,168"
physiological reviews,"12,167"
immunity,"12,163"
signal transduction and targeted therapy,"12,135"
the lancet,"12,113"
cell metabolism,"11,989"
nature cancer,"11,941"
the lancet neurology,"11,729"
mmwr supplements,"11,672"
nature photonics,"11,546"
chemical society reviews,"11,467"
the lancet gastroenterology and hepatology,"11,398"
elight,"11,392"
the lancet oncology,"11,319"
journal of clinical oncology,"11,205"
nature neuroscience,"11,197"
nature electronics,"11,082"
joule,"10,868"
kidney international supplements,"10,788"
nature reviews cardiology,"10,662"
journal of hepatology,"10,575"
reviews of geophysics,"10,546"
energy and environmental science,"10,529"
academy of management journal,"10,528"
science,"10,416"
administrative science quarterly,"10,393"
nature immunology,"10,390"
handbook of industrial organization,"10,234"
journal of hematology and oncology,"10,192"
organizational research methods,"10,181"
strategic management journal,"10,176"
nature biomedical engineering,"10,105"
nature reviews gastroenterology and hepatology,"9,911"
nature reviews physics,"9,803"
annual review of condensed matter physics,"9,795"
nber macroeconomics annual,"9,760"
escience,"9,726"
morbidity and mortality weekly report,"9,559"
annual review of biochemistry,"9,520"
astronomy and astrophysics review,"9,465"
nature reviews neuroscience,"9,331"
cell stem cell,"9,313"
molecular cancer,"9,263"
endocrine reviews,"9,175"
annals of mathematics studies,"9,135"
acta mathematica,"9,069"
molecular cell,"9,051"
journal of the american college of cardiology,"9,015"
gut,"8,874"
advanced materials,"8,851"
cell research,"8,740"
psychological bulletin,"8,696"
circulation,"8,668"
journal of management,"8,636"
annals of mathematics,"8,627"
progress in materials science,"8,566"
journal of consumer research,"8,562"
european urology,"8,529"
the lancet public health,"8,408"
journal of accounting research,"8,396"
advanced energy materials,"8,378"
jama oncology,"8,377"
annual review of public health,"8,291"
journal of economic perspectives,"8,262"
annual review of fluid mechanics,"8,258"
annual review of plant biology,"8,258"
review of finance,"8,220"
science immunology,"8,220"
innovation,"8,218"
nano-micro letters,"8,188"
annual review of economics,"8,094"
nature climate change,"8,046"
progress in energy and combustion science,"8,031"
organization science,"8,026"
annual review of clinical psychology,"8,021"
nature reviews bioengineering,"7,993"
advances in optics and photonics,"7,982"
journal of thoracic oncology,"7,948"
nature reviews endocrinology,"7,884"
journal of monetary economics,"7,872"
annual review of physiology,"7,820"
electrochemical energy reviews,"7,790"
nucleic acids research,"7,776"
nature cell biology,"7,711"
marketing science,"7,543"
nature metabolism,"7,529"
journal of accounting and economics,"7,505"
journal of the european economic association,"7,503"
the lancet psychiatry,"7,458"
living reviews in solar physics,"7,431"
review of economics and statistics,"7,425"
interdisciplinary materials,"7,351"
nature reviews nephrology,"7,309"
foundations and trends in signal processing,"7,305"
nature sustainability,"7,292"
cancer discovery,"7,283"
gastroenterology,"7,195"
nature physics,"7,125"
annual review of neuroscience,"7,112"
nature aging,"7,081"
cell host and microbe,"7,067"
nature reviews psychology,"7,064"
materials science and engineering r,"7,056"
journal of the american mathematical society,"7,033"
ieee journal on selected areas in communications,"7,023"
neuro-oncology,"6,974"
journal of marketing research,"6,961"
advances in methods and practices in psychological science,"6,947"
annual review of political science,"6,903"
journal of the academy of marketing science,"6,896"
nature microbiology,"6,893"
entrepreneurship theory and practice,"6,876"
organization theory,"6,872"
the lancet digital health,"6,838"
journal of applied psychology,"6,803"
acs energy letters,"6,799"
annual review of medicine,"6,794"
annual review of cell and developmental biology,"6,788"
the lancet respiratory medicine,"6,788"
publications mathematiques de l'institut des hautes etudes scientifiques,"6,783"
neuron,"6,755"
science translational medicine,"6,722"
nature chemistry,"6,710"
clinical psychology review,"6,617"
acta numerica,"6,610"
pharmacological reviews,"6,603"
journal of human resources,"6,588"
annual review of marine science,"6,571"
diabetes care,"6,566"
fungal diversity,"6,546"
annual review of genetics,"6,455"
physical review x,"6,415"
journal of labor economics,"6,404"
cancer communications,"6,403"
the lancet planetary health,"6,386"
innovation geoscience,"6,384"
american journal of political science,"6,280"
international journal of information management,"6,260"
qualitative research in psychology,"6,248"
proceedings of the ieee,"6,247"
cell genomics,"6,238"
jama neurology,"6,237"
journal of business venturing,"6,234"
imeta,"6,223"
nature structural and molecular biology,"6,187"
inventiones mathematicae,"6,183"
nano research energy,"6,160"
progress in polymer science,"6,089"
nature food,"6,088"
analytic methods in accident research,"6,076"
annual review of financial economics,"6,062"
journal of service research,"6,011"
chem,"6,010"
nature water,"5,962"
science robotics,"5,940"
jama cardiology,"5,936"
cellular and molecular immunology,"5,916"
annual review of earth and planetary sciences,"5,885"
nature machine intelligence,"5,876"
the lancet global health,"5,870"
nature protocols,"5,854"
psychological science in the public interest,"5,852"
progress in retinal and eye research,"5,838"
journal of experimental medicine,"5,834"
nature reviews neurology,"5,828"
blood,"5,823"
review of accounting studies,"5,817"
cement and concrete research,"5,815"
acm computing surveys,"5,797"
educational psychologist,"5,794"
energy storage materials,"5,791"
jama psychiatry,"5,755"
materials today,"5,755"
physics reports,"5,735"
annals of the rheumatic diseases,"5,731"
management science,"5,720"
genome biology,"5,710"
journal of the national cancer institute,"5,703"
carbon energy,"5,701"
annual review of environment and resources,"5,700"
infomat,"5,683"
reports on progress in physics,"5,666"
national center for health statistics data brief,"5,630"
clinical microbiology reviews,"5,594"
international journal of machine tools and manufacture,"5,577"
european journal of heart failure,"5,559"
hepatology,"5,557"
journal of the american chemical society,"5,554"
angewandte chemie - international edition,"5,550"
nature human behaviour,"5,537"
american political science review,"5,532"
nature chemical biology,"5,521"
molecular plant,"5,519"
jnccn journal of the national comprehensive cancer network,"5,514"
nature reviews rheumatology,"5,507"
personality and social psychology review,"5,493"
molecular neurodegeneration,"5,488"
journal of management studies,"5,465"
trends in cell biology,"5,455"
the lancet infectious diseases,"5,446"
advanced functional materials,"5,439"
accounts of chemical research,"5,433"
jacc,"5,426"
personnel psychology,"5,414"
nature synthesis,"5,403"
leadership quarterly,"5,393"
perspectives on psychological science,"5,393"
protein and cell,"5,392"
economic journal,"5,371"
human reproduction update,"5,357"
jama,"5,352"
prx quantum,"5,341"
gigascience,"5,314"
drug resistance updates,"5,282"
american journal of psychiatry,"5,270"
annual review of sociology,"5,262"
the lancet microbe,"5,262"
computers and education,"5,217"
"annual review of ecology, evolution, and systematics","5,214"
strategic organization,"5,210"
energychem,"5,185"
applied catalysis b,"5,180"
developmental cell,"5,180"
the lancet healthy longevity,"5,166"
annual review of biophysics,"5,152"
blood cancer journal,"5,139"
nature geoscience,"5,138"
advanced powder materials,"5,100"
jama pediatrics,"5,085"
genome medicine,"5,078"
journal of international business studies,"5,078"
american journal of respiratory and critical care medicine,"5,076"
academy of management perspectives,"5,063"
organization studies,"5,032"
light,"5,018"
intensive care medicine,"4,999"
european heart journal,"4,987"
international organization,"4,977"
cell systems,"4,943"
the lancet haematology,"4,936"
psychological methods,"4,925"
psychotherapy and psychosomatics,"4,904"
circulation research,"4,897"
trends in ecology and evolution,"4,876"
cell death and differentiation,"4,866"
information systems research,"4,850"
health psychology review,"4,838"
embo journal,"4,821"
nature plants,"4,815"
matter,"4,804"
clinical cancer research,"4,800"
molecular systems biology,"4,783"
advanced photonics,"4,777"
annals of statistics,"4,769"
nature communications,"4,761"
critical finance review,"4,754"
trends in cancer,"4,727"
trends in neurosciences,"4,726"
british journal of sports medicine,"4,724"
journal of clinical investigation,"4,721"
brain,"4,720"
proceedings of the ieee computer society conference on computer vision and pattern recognition,"4,718"
review of educational research,"4,700"
biological psychiatry,"4,684"
protein science,"4,657"
annual review of entomology,"4,655"
coordination chemistry reviews,"4,638"
jama internal medicine,"4,623"
review of asset pricing studies,"4,621"
ieee transactions on smart grid,"4,608"
global change biology,"4,600"
nano energy,"4,566"
journal of supply chain management,"4,562"
ophthalmology,"4,552"
journal of consumer psychology,"4,547"
european review of social psychology,"4,544"
american journal of human genetics,"4,531"
journal of extracellular vesicles,"4,524"
journal of operations management,"4,520"
photonix,"4,514"
the lancet hiv,"4,506"
trends in cognitive sciences,"4,506"
annual review of microbiology,"4,505"
european respiratory journal,"4,502"
wiley interdisciplinary reviews,"4,501"
acs nano,"4,497"
implementation science,"4,491"
manufacturing and service operations management,"4,486"
mis quarterly,"4,486"
acta neuropathologica,"4,483"
advances in physics,"4,468"
health affairs,"4,465"
journal of financial and quantitative analysis,"4,465"
journal of advertising,"4,455"
ieee transactions on wireless communications,"4,454"
ieee transactions on cybernetics,"4,450"
autophagy,"4,447"
cement and concrete composites,"4,446"
quantitative economics,"4,438"
annual review of nutrition,"4,435"
progress in particle and nuclear physics,"4,428"
ieee wireless communications,"4,406"
educational psychology review,"4,384"
biological reviews,"4,383"
current climate change reports,"4,363"
accounts of materials research,"4,358"
nature ecology and evolution,"4,357"
political analysis,"4,353"
science advances,"4,324"
journal of international economics,"4,321"
blood cancer discovery,"4,316"
periodontology 2000,"4,316"
journal of world business,"4,297"
the lancet child and adolescent health,"4,289"
annual review of genomics and human genetics,"4,280"
plos medicine,"4,279"
ieee transactions on sustainable energy,"4,261"
exploration,"4,231"
journal for immunotherapy of cancer,"4,220"
ageing research reviews,"4,216"
sleep medicine reviews,"4,209"
military medical research,"4,206"
journal of retailing,"4,204"
american sociological review,"4,203"
cancer treatment reviews,"4,183"
rand journal of economics,"4,173"
journal of business and economic statistics,"4,171"
comparative political studies,"4,169"
npj digital medicine,"4,164"
environmental science and ecotechnology,"4,161"
trends in biochemical sciences,"4,158"
human relations,"4,148"
tourism management,"4,146"
kidney international,"4,130"
information fusion,"4,128"
jama surgery,"4,125"
review of corporate finance studies,"4,122"
ieee journal on selected topics in signal processing,"4,120"
microbiome,"4,117"
"forum of mathematics, pi","4,116"
journal of the american statistical association,"4,103"
nature cardiovascular research,"4,096"
journal of public economics,"4,092"
progress in lipid research,"4,091"
the lancet regional health - europe,"4,088"
molecular biology and evolution,"4,085"
bioactive materials,"4,075"
earth system science data,"4,066"
sociological methods and research,"4,064"
international journal of management reviews,"4,054"
econometrics journal,"4,051"
bone research,"4,048"
accounting review,"4,045"
microplastics and nanoplastics,"4,031"
annual review of pharmacology and toxicology,"4,029"
cell reports medicine,"4,028"
annual review of virology,"4,025"
molecular psychiatry,"4,022"
research synthesis methods,"4,020"
seminars in cancer biology,"4,016"
molecular therapy,"4,008"
foundations and trends in systems and control,"4,006"
nature astronomy,"4,006"
genes and development,"4,005"
experimental and molecular medicine,"4,001"
digest of technical papers - ieee international solid-state circuits conference,"3,998"
annual review of phytopathology,"3,984"
soil biology and biochemistry,"3,982"
isme journal,"3,973"
remote sensing of environment,"3,972"
"genomics, proteomics and bioinformatics","3,964"
annual review of cancer biology,"3,955"
internet of things and cyber-physical systems,"3,952"
annual review of nuclear and particle science,"3,950"
cardiovascular research,"3,947"
journal of development economics,"3,945"
cambridge journal of mathematics,"3,940"
journal of allergy and clinical immunology,"3,935"
human resource management review,"3,934"
environmental chemistry letters,"3,929"
trends in genetics,"3,928"
advanced fiber materials,"3,919"
energy economics,"3,919"
duke mathematical journal,"3,913"
international journal of educational technology in higher education,"3,912"
ieee transactions on pattern analysis and machine intelligence,"3,910"
genome research,"3,909"
ecology letters,"3,905"
qualitative psychology,"3,904"
mycosphere,"3,903"
renewable and sustainable energy reviews,"3,901"
trends in immunology,"3,895"
sports medicine,"3,887"
brookings papers on economic activity,"3,884"
cancer research,"3,879"
international journal of research in marketing,"3,869"
studies in mycology,"3,867"
journal of personality and social psychology,"3,865"
ieee/caa journal of automatica sinica,"3,863"
journal of organizational behavior,"3,862"
